customer_id,age,gender,region,acquisition_channel,tenure_months,annual_income,monthly_spend,purchase_frequency,complaints_last_6m,support_tickets,discount_usage_ratio,satisfaction_score,churn,high_purchase_intent,segment
23,27,Female,West,Online,56,78801.17,852.77,2,1,2,0.102,5.0,0,0,1
24,66,Female,East,Online,37,53844.51,558.96,3,0,0,0.487,4.28,0,0,3
25,58,Female,West,Online,62,44408.64,241.71,1,0,0,0.895,4.59,0,1,3
26,51,Male,North,Online,63,49403.07,435.27,3,1,6,0.663,4.33,0,0,3
27,38,Male,North,Retail,70,52533.35,359.17,4,1,4,0.953,3.79,0,0,3
28,60,Male,East,Retail,9,83349.48,459.25,4,2,3,0.531,3.22,0,0,0
29,46,Male,East,Online,42,62878.4,661.42,2,0,1,0.912,3.75,0,0,0
30,41,Male,North,Online,9,83104.78,305.8,6,0,2,0.767,5.0,0,1,2
31,41,Male,East,Online,17,68895.96,917.55,1,1,1,0.823,4.3,0,1,1
32,29,Male,North,Online,22,54433.85,415.07,2,0,4,0.991,4.33,0,1,0
33,22,Female,West,Online,46,52973.57,426.75,2,0,2,0.302,4.0,0,0,3
34,46,Female,North,Online,31,70108.96,919.43,5,2,0,0.628,4.01,0,1,1
35,64,Male,South,Online,62,74767.66,692.47,1,2,1,0.256,3.19,0,0,0
36,21,Female,West,Partner,22,77942.27,759.88,2,0,2,0.854,4.43,0,1,1
37,62,Female,East,Online,44,55292.31,644.94,5,2,0,0.586,4.22,0,1,1
38,61,Female,East,Retail,55,63153.71,832.47,3,0,0,0.176,4.38,0,0,1
39,32,Female,East,Online,70,70512.73,463.18,3,1,0,0.421,3.92,0,0,3
40,50,Male,West,Online,18,53088.63,250.6,3,0,2,0.182,4.24,0,0,2
41,26,Female,South,Partner,53,39571.08,632.82,6,0,4,0.458,4.89,0,1,1
42,57,Male,West,Online,7,45487.12,167.37,2,0,0,0.078,4.7,0,0,2
43,54,Male,East,Retail,39,55661.36,653.48,2,0,1,0.965,3.72,0,0,0
44,36,Male,West,Partner,30,71919.73,732.46,4,1,3,0.597,4.47,0,1,1
45,21,Male,East,Retail,69,82661.59,832.17,4,1,1,0.991,4.54,0,1,1
46,68,Male,North,Online,55,35591.15,495.35,1,0,2,0.174,4.48,0,0,3
47,41,Male,East,Online,66,49247.79,767.05,6,0,1,0.384,5.0,0,1,1
48,64,Female,West,Online,61,53558.48,253.01,4,0,3,0.931,4.47,0,1,3
49,53,Male,North,Online,30,74304.91,757.65,1,0,3,0.692,4.53,0,1,1
50,58,Male,West,Online,53,50494.01,533.71,2,0,2,0.07,4.67,0,0,3
51,57,Male,North,Retail,3,52264.82,338.79,2,0,1,0.883,4.96,0,1,2
52,28,Male,West,Retail,40,34584.13,462.3,1,0,0,0.189,4.44,0,0,3
53,36,Male,West,Online,4,68701.33,546.29,4,1,1,0.262,3.95,0,1,2
54,42,Male,North,Online,52,57094.82,326.93,5,0,0,0.732,5.0,0,1,3
55,43,Male,East,Retail,69,48227.19,643.3,3,0,2,0.711,4.95,0,1,3
56,20,Female,North,Partner,49,55328.76,746.7,2,0,0,0.661,5.0,0,1,3
57,46,Female,East,Online,60,80285.92,406.64,4,1,0,0.005,4.56,0,1,3
58,26,Female,West,Online,17,41912.04,481.66,2,1,0,0.249,3.43,0,0,0
59,56,Female,North,Retail,71,44850.13,342.52,2,0,3,0.345,4.44,0,0,3
60,53,Female,North,Retail,40,82540.54,367.61,4,2,5,0.4,3.62,0,0,0
61,65,Other,South,Partner,48,61363.95,457.21,2,1,2,0.074,4.7,0,0,3
62,56,Female,South,Online,55,72055.57,911.5,5,0,2,0.675,5.0,0,1,1
63,37,Female,North,Online,46,67231.53,382.67,4,0,0,0.891,5.0,0,1,3
64,68,Female,South,Online,23,59363.98,307.73,5,1,2,0.99,3.2,0,0,0
65,39,Female,South,Online,44,53730.62,633.7,6,0,2,0.798,4.23,0,1,1
66,34,Male,North,Retail,47,74968.04,624.74,9,1,1,0.203,4.34,0,1,1
67,65,Male,South,Online,61,80922.06,495.91,4,0,2,0.511,4.37,0,1,3
68,37,Male,North,Retail,35,79515.39,507.34,4,0,1,0.916,4.7,0,1,2
69,21,Male,West,Partner,36,38661.51,482.87,6,1,3,0.067,4.95,0,1,2
70,42,Female,West,Partner,36,83488.4,862.99,5,0,0,0.228,5.0,0,1,1
71,59,Male,South,Retail,9,53557.17,596.9,4,1,1,0.265,3.81,0,1,0
72,27,Female,West,Partner,7,46409.47,213.86,2,0,1,0.61,4.11,0,1,0
73,42,Female,South,Online,2,56952.1,455.04,0,1,1,0.952,3.61,0,0,0
74,24,Female,West,Online,48,74960.31,905.59,2,0,1,0.483,4.46,0,0,1
75,53,Male,North,Online,30,69728.36,474.72,3,1,1,0.564,4.62,0,1,2
76,42,Male,South,Partner,62,55403.04,398.62,7,0,5,0.64,4.93,0,1,3
77,35,Female,East,Partner,50,75077.99,611.25,1,2,2,0.852,3.5,0,0,0
78,29,Female,North,Online,11,62517.49,426.96,3,1,0,0.286,4.28,0,0,2
79,47,Other,West,Online,8,49686.51,272.98,5,0,3,0.626,5.0,0,1,2
80,52,Female,South,Online,26,47255.36,643.94,1,0,1,0.925,3.73,0,0,0
81,66,Female,South,Online,66,67384.23,622.17,3,0,1,0.939,4.89,0,1,3
82,40,Male,South,Retail,4,58514.68,557.57,0,0,0,0.383,4.76,0,0,2
83,26,Male,West,Online,14,59310.604999999996,179.91,1,1,3,0.112,3.81,0,0,0
84,61,Male,North,Retail,3,75248.91,712.64,4,0,3,0.924,4.45,0,1,2
85,50,Female,West,Retail,30,51355.05,521.68,0,0,0,0.921,4.71,0,1,3
86,54,Female,West,Online,71,88658.15,1202.88,7,1,3,0.097,4.11,0,1,1
87,23,Male,West,Online,49,34746.18,333.34,4,0,1,0.081,4.3,0,1,3
88,34,Female,West,Partner,36,56747.25,695.39,4,1,1,0.185,3.91,0,1,1
89,57,Male,West,Retail,11,47400.4,312.76,1,2,2,0.647,4.62,0,1,2
90,61,Male,East,Online,26,42442.39,434.91,2,1,1,0.303,3.95,0,0,0
91,40,Male,South,Online,38,51237.77,710.64,8,0,4,0.24,4.33,0,1,1
92,59,Male,South,Partner,20,91870.22,910.31,1,0,2,0.8,4.78,0,1,1
93,61,Female,West,Retail,51,62580.66,732.17,5,0,0,0.244,4.64,0,1,1
94,38,Male,South,Retail,70,45749.26,702.82,2,2,0,0.96,3.92,0,1,3
95,64,Female,East,Retail,15,27084.69,372.06,6,1,2,0.438,4.54,0,1,2
96,32,Female,North,Retail,18,29015.47,174.37,4,0,0,0.423,4.28,0,1,2
97,30,Male,South,Online,9,50343.66,278.25,3,1,2,0.944,3.37,0,0,0
98,53,Male,South,Retail,52,48593.62,533.71,5,1,1,0.12,3.95,0,1,3
99,51,Female,South,Online,33,55967.09,812.62,1,0,0,0.115,5.0,0,0,1
100,25,Male,East,Retail,21,19100.69,198.1,6,0,1,0.434,4.43,0,1,2
101,61,Female,East,Partner,16,58349.73,409.04,3,0,0,0.587,4.72,0,1,2
102,28,Male,South,Partner,6,78499.14,695.65,3,0,0,0.508,3.99,0,1,0
103,59,Female,North,Online,34,89211.14,400.02,2,0,0,0.955,5.0,0,1,2
104,18,Female,East,Retail,49,25899.97,190.03,4,0,2,0.993,4.39,0,1,3
105,59,Male,North,Retail,17,45574.93,247.9,3,1,1,0.041,3.99,0,0,0
106,58,Male,West,Partner,1,44623.79,162.5,4,0,1,0.165,4.55,0,1,2
107,58,Female,West,Retail,34,62622.99,717.84,3,0,0,0.554,5.0,0,1,2
108,52,Male,North,Online,48,38044.1,316.57,2,0,1,0.95,4.74,0,1,3
109,42,Male,South,Online,25,90280.74,500.94,4,0,0,0.28,4.62,0,1,2
110,54,Male,North,Retail,18,60783.4,552.42,2,0,1,0.367,3.08,0,0,0
111,32,Male,South,Retail,11,57783.37,392.47,2,0,0,0.231,5.0,0,0,2
112,58,Female,North,Retail,53,88668.85,724.29,2,1,1,0.967,3.82,0,1,1
113,46,Female,West,Retail,62,59711.14,499.93,3,0,1,0.154,4.14,0,0,3
114,41,Male,North,Online,55,67205.46,282.9,4,1,1,0.565,3.89,0,1,3
115,44,Female,East,Online,37,46485.63,545.75,1,0,1,0.023,5.0,0,0,3
116,47,Male,East,Retail,52,35330.96,533.71,5,0,0,0.602,4.73,0,1,3
117,19,Male,North,Online,29,49013.49,300.07,0,1,3,0.392,3.15,0,0,0
118,25,Female,West,Retail,2,99365.57,524.36,0,0,2,0.566,4.24,0,1,0
119,30,Other,North,Retail,27,71394.38,512.29,5,1,3,0.08,3.74,0,0,0
120,23,Male,West,Retail,50,64941.63,372.87,3,1,6,0.091,4.0,0,0,3
121,40,Male,East,Online,46,42425.28,338.0,2,1,3,0.092,3.82,0,0,0
122,52,Female,East,Retail,71,76402.51,575.41,1,0,1,0.835,3.69,0,0,3
123,52,Female,West,Online,71,35561.52,290.12,2,0,3,0.724,4.32,0,1,3
124,42,Male,South,Online,18,31792.98,406.69,5,1,1,0.128,4.29,0,1,2
125,62,Male,South,Online,1,49940.03,319.98,4,0,3,0.316,4.33,0,1,2
126,47,Female,North,Online,20,95180.84,426.78,0,2,1,0.436,2.74,0,0,0
127,22,Male,West,Partner,63,94162.1,913.08,1,0,2,0.099,4.53,0,0,1
128,57,Male,South,Partner,58,51877.74,313.38,2,0,2,0.84,4.3,0,1,3
129,47,Male,West,Online,8,47864.42,540.76,1,1,3,0.363,3.85,0,0,0
130,51,Male,South,Retail,12,30473.48,135.61,6,1,3,0.67,4.58,0,1,2
131,47,Male,West,Online,41,61404.55,549.51,1,1,0,0.642,3.23,0,0,0
132,46,Female,West,Retail,47,62916.23,883.49,4,0,2,0.914,4.57,0,1,1
133,22,Female,South,Retail,70,74212.01,474.38,2,3,2,0.742,3.72,0,0,3
134,47,Female,South,Retail,54,76392.74,464.09,3,0,0,0.034,4.56,0,0,3
135,59,Other,West,Online,16,56446.41,550.9,6,1,0,0.155,3.74,0,0,2
136,33,Male,North,Online,3,70008.5,923.68,1,0,0,0.445,4.22,0,0,0
137,49,Male,North,Online,45,59310.604999999996,411.18,4,0,1,0.093,4.39,0,1,3
138,19,Female,South,Partner,40,69666.77,722.31,0,0,1,0.392,4.33,0,0,3
139,36,Male,East,Retail,66,50869.82,314.04,1,0,3,0.977,4.5,0,1,3
140,40,Female,North,Online,41,68270.25,533.71,2,0,2,0.205,4.44,0,0,3
141,69,Female,South,Online,36,66813.02,434.2,2,2,2,0.705,3.42,0,0,0
142,29,Male,West,Partner,22,61238.47,616.67,3,1,2,0.26,4.63,0,0,2
143,32,Male,North,Online,7,74301.71,322.8,7,2,2,0.034,3.73,0,0,2
144,39,Male,North,Retail,63,31732.82,342.23,4,1,1,0.098,5.0,0,1,3
145,69,Male,South,Retail,59,40831.51,334.46,4,2,0,0.104,3.87,0,1,3
146,62,Male,North,Online,12,55138.93,575.9,2,0,1,0.299,4.04,0,0,0
147,19,Male,North,Online,50,34021.26,418.8,8,0,2,0.961,4.28,0,1,2
148,30,Female,North,Online,26,52676.44,533.71,5,0,3,0.621,4.33,0,1,2
149,60,Female,North,Online,32,53256.65,750.98,3,0,2,0.123,3.95,0,0,1
150,21,Female,West,Retail,61,83574.31,789.43,5,0,1,0.07,4.74,0,1,1
151,62,Male,North,Retail,60,62565.61,692.36,2,0,3,0.971,4.16,0,1,3
152,32,Male,East,Online,14,78529.73,304.61,3,1,0,0.171,4.09,0,0,0
153,65,Male,East,Online,22,65430.14,853.03,7,0,1,0.27,4.75,0,1,1
154,33,Male,East,Online,59,50357.99,533.72,2,1,2,0.842,4.59,0,1,3
155,40,Female,East,Online,66,62406.9,572.9,7,1,2,0.555,4.07,0,1,1
156,52,Male,South,Retail,6,73129.67,571.67,7,0,2,0.227,4.78,0,1,2
157,24,Male,West,Retail,60,81481.22,978.85,2,0,3,0.664,4.58,0,1,1
158,46,Female,North,Retail,35,57618.42,719.42,4,1,1,0.372,3.67,0,0,1
159,44,Male,North,Online,42,30344.81,435.4,5,0,1,0.582,4.93,0,1,2
160,58,Male,West,Retail,6,29079.56,256.09,2,2,2,0.097,4.15,0,0,0
161,69,Male,North,Online,49,54124.57,486.76,2,0,0,0.88,5.0,0,1,3
162,52,Female,North,Partner,49,17917.77,326.4,4,1,1,0.595,3.72,0,0,3
163,39,Female,North,Retail,48,92311.88,986.46,0,1,1,0.004,3.55,0,0,1
164,39,Male,North,Partner,57,70744.8,723.93,2,0,1,0.559,4.49,0,1,3
165,39,Female,North,Online,68,48557.99,568.3,3,0,1,0.362,4.51,0,0,3
166,60,Female,East,Online,61,40026.34,510.07,4,1,2,0.906,4.2,0,1,3
167,34,Female,East,Retail,53,78506.14,909.41,2,3,4,0.139,3.05,0,0,0
168,26,Male,North,Online,70,39954.53,417.58,2,0,3,0.334,4.45,0,0,3
169,35,Male,West,Retail,48,41671.92,581.23,2,0,1,0.765,3.24,0,0,0
170,19,Female,North,Online,48,46212.97,596.65,2,0,2,0.225,4.77,0,0,3
171,23,Male,East,Partner,39,62053.57,564.31,2,0,0,0.313,5.0,0,0,3
172,22,Female,West,Online,55,71174.35,451.0,1,0,4,0.771,3.95,0,1,3
173,58,Female,East,Partner,6,81468.1,750.82,6,2,0,0.712,4.2,0,1,2
174,55,Male,South,Online,36,78809.48,790.67,2,0,0,0.36,5.0,0,0,1
175,54,Female,North,Online,31,60013.93,561.33,1,1,1,0.467,4.14,0,0,0
176,42,Female,North,Online,65,78369.4,1042.34,3,1,0,0.552,4.45,0,1,1
177,55,Female,West,Online,6,47922.01,214.79,6,0,0,0.888,5.0,0,1,2
178,26,Male,South,Partner,46,27224.41,244.72,3,1,1,0.662,5.0,0,1,3
179,64,Female,North,Partner,14,47919.64,595.6,4,1,2,0.592,3.66,0,0,0
180,44,Female,East,Partner,63,59310.604999999996,651.63,4,0,0,0.811,4.49,0,1,3
181,66,Female,East,Partner,61,48624.23,462.88,5,1,2,0.304,4.69,0,1,3
182,25,Female,North,Retail,17,42731.25,249.35,3,0,3,0.444,4.66,0,0,2
183,43,Female,North,Online,62,51700.03,513.13,2,3,2,0.687,3.74,0,0,3
184,54,Male,North,Retail,36,71160.31,635.69,2,2,3,0.404,2.35,0,0,0
185,43,Male,North,Online,69,90874.63,903.62,2,2,1,0.479,2.84,0,0,1
186,41,Male,East,Retail,52,28943.76,240.76,6,0,1,0.16,5.0,0,1,2
187,26,Female,North,Online,3,36820.78,533.71,2,0,2,0.61,4.83,0,1,2
188,37,Female,East,Retail,15,45753.97,483.9,3,2,0,0.64,4.13,0,1,0
189,30,Female,North,Online,29,73783.35,768.2,1,1,2,0.856,3.42,0,0,0
190,33,Male,West,Online,16,56310.95,576.18,4,0,1,0.085,4.41,0,1,2
191,53,Female,East,Online,10,46966.03,351.35,3,2,1,0.9,4.15,0,1,2
192,50,Female,South,Online,70,72901.19,585.95,2,4,1,0.086,2.43,0,0,0
193,49,Male,South,Online,62,77215.02,591.32,3,0,2,0.745,4.14,0,1,3
194,36,Female,North,Online,31,59662.32,834.49,3,0,2,0.589,4.68,0,1,1
195,67,Female,North,Online,16,45308.05,363.81,6,0,0,0.406,5.0,0,1,2
196,22,Female,East,Retail,13,64865.03,637.67,4,0,1,0.923,4.36,0,1,2
197,35,Male,North,Online,66,55801.17,543.85,4,0,1,0.457,5.0,0,1,3
198,24,Female,East,Retail,24,55661.76,708.99,3,0,4,0.025,4.8,0,0,2
199,35,Female,South,Online,1,50776.8,358.74,3,1,1,0.521,3.32,0,0,0
200,68,Female,North,Retail,29,76649.7,638.88,1,0,1,0.532,5.0,0,1,2
201,37,Female,East,Online,33,64497.84,805.06,3,0,2,0.744,5.0,0,1,1
202,65,Other,East,Online,45,78642.62,457.28,3,0,1,0.358,4.67,0,0,3
203,43,Male,East,Retail,25,84053.87,801.06,3,2,1,0.074,3.8,0,0,0
204,54,Female,North,Retail,66,68261.65,609.83,7,2,1,0.349,4.46,0,1,1
205,41,Male,East,Online,46,50883.41,763.38,6,0,2,0.603,4.91,0,1,1
206,31,Other,West,Online,71,78725.87,887.41,5,0,1,0.545,4.53,0,1,1
207,57,Male,South,Online,27,68381.96,262.81,3,1,2,0.847,4.94,0,1,2
208,68,Male,West,Online,47,106860.62,1324.95,4,1,1,0.27,3.22,0,0,1
209,31,Female,East,Online,26,65581.85,720.98,2,1,4,0.569,3.6,0,0,0
210,58,Male,South,Retail,50,72558.38,712.92,4,1,0,0.976,4.57,0,1,1
211,31,Female,West,Online,53,65227.63,415.92,2,0,2,0.314,4.33,0,0,3
212,55,Male,West,Retail,23,58216.23,323.32,8,0,1,0.436,5.0,0,1,2
213,59,Other,North,Online,67,55341.75,608.63,4,0,1,0.994,3.92,0,1,3
214,41,Female,West,Online,61,65296.39,608.77,8,0,0,0.144,4.77,0,1,1
215,56,Male,North,Online,64,69381.16,930.37,3,1,2,0.574,4.72,0,1,1
216,32,Female,North,Online,16,80778.98,503.66,5,0,1,0.37,3.92,0,1,2
217,22,Male,North,Online,51,65559.31,719.43,3,0,3,0.046,4.29,0,0,1
218,23,Female,South,Retail,8,51667.99,314.98,5,1,0,0.761,4.13,0,1,2
219,41,Female,West,Retail,8,54116.63,537.55,2,0,0,0.199,4.78,0,0,2
220,64,Female,East,Online,70,36187.14,248.76,4,1,1,0.892,4.47,0,1,3
221,24,Male,East,Online,11,89901.85,667.34,3,1,1,0.418,4.27,0,0,2
222,41,Male,North,Retail,62,50258.87,341.25,0,1,4,0.145,3.69,0,0,3
223,54,Female,East,Online,31,77413.93,773.23,4,0,1,0.246,4.65,0,1,1
224,28,Female,South,Online,22,64977.92,453.92,6,1,0,0.833,4.37,0,1,2
225,55,Female,South,Retail,6,65467.17,731.81,3,0,0,0.374,4.63,0,0,2
226,33,Male,South,Online,48,57885.94,311.82,4,2,3,0.256,4.49,0,1,3
227,60,Male,North,Online,52,45819.62,501.95,3,1,0,0.249,3.7,0,0,3
228,48,Female,West,Online,34,42566.36,428.12,2,0,1,0.583,4.69,0,1,3
229,46,Male,East,Retail,58,91112.38,444.03,1,0,0,0.257,4.08,0,0,3
230,27,Male,South,Online,23,62051.3,267.69,3,1,0,0.935,5.0,0,1,2
231,42,Female,North,Retail,40,80254.82,533.71,4,0,3,0.049,4.5,0,1,3
232,62,Male,West,Online,21,84928.32,836.55,3,2,3,0.156,3.08,0,0,0
233,19,Female,South,Online,42,52604.76,736.6,1,0,0,0.429,4.43,0,0,3
234,57,Male,South,Online,10,67623.1,307.82,8,1,0,0.208,3.82,0,1,2
235,43,Female,East,Retail,34,60810.19,702.05,5,0,1,0.779,4.33,0,1,1
236,55,Female,North,Online,40,39170.15,481.28,3,0,1,0.917,4.88,0,1,3
237,52,Female,East,Retail,40,56661.36,632.0,2,0,4,0.6,4.96,0,1,3
238,40,Male,West,Online,32,70575.12,666.3,2,0,0,0.854,5.0,0,1,2
239,34,Female,South,Online,46,51017.47,741.96,1,1,2,0.801,3.99,0,1,0
240,50,Female,North,Online,37,54152.82,527.17,2,2,2,0.159,4.03,0,0,0
241,25,Male,North,Online,21,56879.4,687.92,1,0,2,0.078,4.79,0,0,2
242,48,Male,North,Online,16,98007.53,617.04,0,0,1,0.629,5.0,0,1,2
243,22,Male,East,Retail,46,26987.12,386.96,4,1,2,0.983,3.89,0,1,3
244,51,Female,South,Partner,67,69029.58,1000.06,7,0,3,0.832,5.0,0,1,1
245,50,Female,North,Retail,54,55439.9,807.99,4,1,1,0.616,3.72,0,0,1
246,22,Female,East,Retail,46,48468.21,389.97,2,1,0,0.111,4.84,0,0,3
247,57,Female,North,Online,66,54998.24,785.44,3,0,0,0.78,4.34,0,1,1
248,39,Female,South,Retail,64,72012.77,360.34,5,1,0,0.683,4.06,0,1,3
249,58,Male,West,Online,36,73041.42,795.12,4,0,1,0.934,4.48,0,1,1
250,20,Male,North,Retail,8,63348.31,442.29,4,1,1,0.709,3.88,0,1,0
251,27,Female,North,Retail,46,79669.34,828.01,4,0,0,0.104,4.33,0,1,1
252,43,Male,South,Online,45,82838.99,701.67,1,0,1,0.609,5.0,0,1,3
253,27,Female,East,Partner,20,74694.77,289.97,5,0,0,0.404,3.69,0,0,0
254,35,Female,North,Retail,61,50168.54,355.52,2,0,0,0.421,4.51,0,0,3
255,52,Male,West,Online,62,68899.95,368.27,2,0,0,0.633,4.06,0,1,3
256,25,Female,North,Partner,24,68985.61,548.31,4,0,1,0.9,5.0,0,1,2
257,53,Male,West,Online,34,45318.63,533.71,3,1,1,0.76,4.93,0,1,2
258,23,Other,East,Online,14,31750.1,368.33,3,0,2,0.022,4.4,0,0,2
259,27,Female,North,Online,13,23590.04,283.97,6,0,2,0.147,4.29,0,1,2
260,48,Female,North,Retail,19,61257.4,727.36,1,0,0,0.363,3.74,0,0,0
261,59,Male,North,Online,26,65364.71,496.43,1,0,1,0.685,5.0,0,1,2
262,26,Male,South,Partner,20,38727.93,350.74,5,1,2,0.634,4.9,0,1,2
263,33,Male,South,Online,11,78828.58,685.81,4,1,4,0.504,3.04,0,0,0
264,66,Male,East,Online,32,62739.93,319.42,4,3,2,0.43,3.82,0,1,0
265,69,Male,South,Retail,45,84290.15,846.52,3,0,3,0.79,3.85,0,1,1
266,48,Male,East,Online,24,66669.65,731.65,5,1,1,0.096,4.07,0,1,1
267,41,Other,South,Retail,38,40806.0,450.67,7,0,3,0.595,3.99,0,1,2
268,36,Male,South,Online,20,68249.06,775.41,7,1,2,0.808,3.34,0,0,1
269,49,Male,South,Partner,50,72061.99,377.39,3,0,3,0.272,4.39,0,0,3
270,48,Female,South,Retail,47,50142.78,603.3,2,1,1,0.202,5.0,0,0,3
271,33,Female,West,Online,69,34042.33,249.59,0,2,0,0.673,3.34,0,0,0
272,19,Female,North,Online,4,61805.33,752.04,5,0,2,0.176,5.0,0,1,2
273,25,Female,South,Online,61,41984.8,326.33,5,1,1,0.488,4.84,0,1,3
274,67,Female,West,Partner,25,80175.98,708.87,4,1,1,0.923,4.63,0,1,2
275,39,Female,East,Retail,5,52670.82,440.01,2,0,0,0.061,5.0,0,0,2
276,43,Female,North,Online,49,91042.82,591.1,2,1,0,0.909,4.73,0,1,3
277,42,Female,West,Online,13,21765.14,173.05,5,0,2,0.19,5.0,0,1,2
278,58,Male,North,Retail,13,62426.32,348.82,5,1,0,0.482,3.83,0,1,2
279,21,Male,North,Online,70,85729.07,869.07,1,0,2,0.132,4.76,0,0,1
280,22,Male,South,Retail,16,43974.52,566.37,3,1,1,0.71,4.98,0,1,2
281,32,Male,East,Retail,39,57134.38,444.25,3,1,2,0.998,3.75,0,0,0
282,43,Female,North,Online,15,52745.36,456.3,2,1,0,0.302,2.51,0,0,0
283,52,Male,West,Online,9,47692.18,587.5,8,1,0,0.925,3.92,0,1,2
284,43,Male,North,Online,1,64403.21,508.03,5,2,3,0.73,3.45,0,0,0
285,40,Male,West,Online,2,36682.41,431.29,6,0,0,0.965,5.0,0,1,2
286,66,Female,North,Partner,34,58002.56,483.72,1,0,1,0.672,4.19,0,1,0
287,26,Male,South,Retail,31,69287.9,565.47,3,0,0,0.682,4.65,0,1,2
288,47,Female,East,Retail,3,56128.31,281.42,4,1,1,0.944,3.97,0,1,2
289,46,Female,South,Online,25,41996.32,229.11,3,0,1,0.727,4.51,0,1,2
290,42,Male,East,Online,20,78543.34,769.09,3,0,2,0.847,4.46,0,1,1
291,59,Female,East,Retail,41,73144.63,914.67,8,0,3,0.285,4.34,0,1,1
292,31,Male,East,Online,71,41258.63,256.02,5,0,2,0.169,5.0,0,1,3
293,67,Male,South,Online,50,36706.06,541.47,3,0,2,0.64,5.0,0,1,3
294,35,Female,West,Online,66,42865.36,436.85,2,0,1,0.253,3.95,0,0,3
295,46,Female,East,Retail,14,69814.92,554.05,6,0,3,0.43,4.67,0,1,2
296,45,Male,South,Retail,16,64960.31,820.78,4,0,0,0.856,3.99,0,1,1
297,62,Female,East,Online,54,74221.49,1028.49,2,2,1,0.631,2.94,0,0,1
298,40,Male,West,Retail,23,54129.3,505.1,6,1,0,0.944,4.97,0,1,2
299,32,Female,West,Online,61,59310.604999999996,318.17,1,1,1,0.355,5.0,0,0,3
300,19,Female,East,Online,33,76539.24,444.09,1,2,2,0.281,3.53,0,0,0
301,36,Female,West,Online,15,50037.93,315.94,2,0,2,0.214,5.0,0,0,2
302,60,Female,West,Retail,60,63357.87,779.59,1,1,2,0.976,3.72,0,0,1
303,18,Male,South,Online,40,32101.35,277.68,1,0,4,0.43,4.11,0,0,3
304,64,Female,East,Online,57,49743.41,574.12,3,1,1,0.92,5.0,0,1,3
305,46,Female,North,Online,33,78169.13,441.31,3,2,5,0.345,3.09,0,0,0
306,25,Female,South,Retail,9,47107.06,533.71,5,0,1,0.288,5.0,0,1,2
307,33,Male,West,Retail,49,74661.07,570.57,1,0,1,0.771,4.3,0,1,3
308,46,Male,South,Online,9,18041.65,164.91,3,0,4,0.618,3.97,0,1,0
309,34,Male,West,Partner,48,49930.95,506.96,3,1,3,0.525,3.81,0,1,3
310,23,Male,South,Online,30,56915.62,806.55,1,1,1,0.44,3.04,0,0,0
311,52,Male,North,Online,57,91365.73,1243.83,5,0,1,0.466,5.0,0,1,1
312,52,Male,North,Retail,62,38956.87,458.06,2,0,1,0.834,4.63,0,1,3
313,24,Female,East,Retail,29,72077.88,406.2,2,1,2,0.153,4.02,0,0,0
314,32,Male,South,Online,63,79024.77,1053.84,4,0,0,0.051,4.35,0,1,1
315,30,Female,East,Retail,8,47013.19,586.43,4,1,1,0.006,4.43,0,1,2
316,52,Female,North,Online,8,53276.57,660.4,1,0,3,0.495,4.75,0,0,2
317,55,Female,South,Retail,71,62549.32,585.43,3,1,3,0.818,3.92,0,1,3
